index,date,freq,acu_interval,settle,acu_settle,error_mean,error_variance,variance
440303_051533,2020-10-18,7.0,987.0,-1.3939876202569998,-1.66170485421,-3.806833970885666,-3.6972156035043615,2.0355107492943625
440303_051533,2020-11-03,16.0,1003.0,-3.1070658060000005,-4.76877066021,-4.008459762030367,-6.77378603950624,2.00501537929624
440303_051533,2020-11-19,16.0,1019.0,-2.60856915818,-7.37733981839,-3.8908790987698336,-9.356970626433643,1.979630808043642
440303_051533,2020-12-05,16.0,1035.0,-1.7394199646099988,-9.116759783,-3.3701161695719986,-11.08752390910537,1.9707641261053708
440303_051533,2020-12-21,16.0,1051.0,-0.7161998787500004,-9.83295966175,-2.575460236872333,-11.81424540232251,1.9812857405725104
440303_051533,2021-01-06,16.0,1067.0,0.2173787832399991,-9.61558087851,-1.8480397123836667,-11.621445950622295,2.005865072112295
440303_051533,2021-02-08,33.0,1100.0,2.3967736553100005,-7.2188072232,-1.533987799878668,-9.282124313973664,2.063317090773663
440303_051533,2021-02-23,15.0,1115.0,1.4654101619899995,-5.75339706121,-1.5705014675982003,-7.839452293484548,2.0860552322745485
440303_051533,2021-03-11,16.0,1131.0,1.6661760068200009,-4.08722105439,-1.3350940676021996,-6.232485959107617,2.1452649047176178
440303_051533,2021-04-12,32.0,1163.0,2.51391319856,-1.57330785583,0.1877027461083664,-4.168669592886922,2.595361737056922
440303_051533,2021-04-28,16.0,1179.0,0.30291709585,-1.27039075998,1.0012197006347,-4.193531622114416,2.923140862134416
440303_051534,2018-03-08,32.0,32.0,-0.026973324106,-0.026973324106,-0.2173340316422533,-0.6447431392189745,0.6177698151129746
440303_051534,2018-03-24,16.0,48.0,0.206441158693,0.179467834587,-0.1219201599256331,-0.6346755883685619,0.8141434229555619
440303_051534,2018-04-09,16.0,64.0,0.473695970898,0.653163805485,0.1875996357532499,-0.2715408456800295,0.9247046511650296
440303_051534,2018-04-25,16.0,80.0,0.675303234175,1.32846703966,0.6063443727914033,0.3216340921332459,1.006832947526754
440303_051534,2018-05-11,16.0,96.0,0.57214945125,1.90061649091,0.91871918240202,0.7980390711847356,1.1025774197252645
440303_051534,2018-06-12,32.0,128.0,-1.646645320988,0.253971169922,0.6756072324102567,-1.0154007836480643,1.2693719535700645
440303_051534,2018-07-11,29.0,157.0,-6.292456397722,-6.0384852278,0.0050167735603343,-7.624401284329164,1.5859160565291643
440303_051534,2018-08-31,51.0,208.0,-9.0073444675,-15.0458296953,-1.949294632441335,-16.788275330866256,1.7424456355662554
440303_051534,2018-09-13,13.0,221.0,0.8426607524000005,-14.2031689429,-1.9629777261803325,-15.925096907933256,1.7219279650332573
440303_051534,2018-10-02,19.0,240.0,2.0683586049,-12.134810338,-1.7746559120739995,-13.76952147783387,1.6347111398338692
440303_051534,2018-10-18,16.0,256.0,1.896857462,-10.237952876,-1.606423647518998,-11.758198814712326,1.5202459387123255
440303_051534,2018-11-03,16.0,272.0,1.7229599303,-8.5149929457,-1.5607272042400029,-9.911749572148114,1.3967566264481155
440303_051534,2018-11-19,16.0,288.0,1.53791427047,-6.97707867523,-1.641659920685334,-8.271482561865271,1.2944038866352725
440303_051534,2018-12-01,12.0,300.0,1.09192402405,-5.88515465118,-1.7139196130526662,-7.118402675800992,1.233248024620992
440303_051534,2019-01-06,36.0,336.0,1.72443735493,-4.16071729625,-1.4731393249877334,-5.276861877477317,1.1161445812273174
440303_051534,2019-02-07,32.0,368.0,-1.1822230087500003,-5.342940305,-1.2169967432596662,-6.474721133134902,1.1317808281349022
440303_051534,2019-02-19,12.0,380.0,0.1973342584799997,-5.14560604652,-1.0659706326016662,-6.272655229663519,1.1270491831435183
440303_051534,2019-03-11,20.0,400.0,2.0454818531,-3.10012419342,-0.442565430720466,-4.347039273964045,1.2469150805440448
440303_051534,2019-03-27,16.0,416.0,3.1392096709869,0.0390854775669,0.3832399974659035,-1.7625134019529534,1.8015988795198532
440303_051534,2019-04-25,29.0,445.0,4.8737402085231,4.91282568609,1.1844721357932095,2.1149553750664545,2.797870311023545
440303_051534,2019-04-28,3.0,448.0,0.1808632735499999,5.09368895964,1.1294052805372332,2.280719563071676,2.812969396568324
440303_051534,2019-05-10,12.0,460.0,0.0212821544200005,5.11497111406,0.6141812041307002,2.4273697827962804,2.68760133126372
440303_051534,2019-06-10,31.0,491.0,-1.8870432213800004,3.22792789268,-1.6230706183728656,1.2673764529573568,1.9605514397226431
440303_051534,2019-06-26,16.0,507.0,0.5412867615399999,3.76921465422,-2.0203286015011725,1.9380731079762057,1.831141546243794
440303_051534,2019-07-12,16.0,523.0,1.4326619540000003,5.20187660822,-1.7332868136796655,3.451709704096375,1.7501669041236252
440303_051534,2019-08-14,33.0,556.0,1.72662366698,6.9285002752,-0.6960274450680011,5.100227063672305,1.828273211527696
440303_051534,2019-08-29,15.0,571.0,0.2580355070099998,7.18653578221,-0.3340707319223357,5.188906784556437,1.9976289976535624
440303_051534,2019-09-27,29.0,600.0,0.5576115271399997,7.74414730935,0.3242634004753322,5.351704447626054,2.392442861723945
440303_051534,2019-10-09,12.0,612.0,-0.0411290751499997,7.7030182342,0.5997261784980008,5.1771484535687975,2.525869780631202
440303_051534,2019-11-17,39.0,651.0,-4.381263923080001,3.32175431112,0.9983369700599036,0.8172102129225118,2.504544098197488
440303_051534,2019-12-03,16.0,667.0,-3.082221440307,0.239532870813,0.7172249350290867,-2.014251096748717,2.253783967561717
440303_051534,2020-01-13,41.0,708.0,-6.191176120603,-5.95164324979,-0.3108838682286672,-7.429622475511514,1.477979225721514
440303_051534,2020-02-05,23.0,731.0,-0.71505366402,-6.66669691381,-0.4609520400413345,-7.998819959337416,1.3321230455274151
440303_051534,2020-02-21,16.0,747.0,0.2640795974200003,-6.40261731639,-0.4611752566963316,-7.713488084340949,1.3108707679509497
440303_051534,2020-03-24,32.0,779.0,2.77568443588,-3.62693288051,-0.3010876273716336,-5.014100600639514,1.3871677201295145
